date,location_id,location_level,location_name,case_status,case_definition,temporal_resolution,dengue_total
2020-09-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,2743.0
2020-10-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,2419.0
2020-11-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,2963.0
2020-12-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,3016.0
2021-01-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,4567.0
2021-02-28 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,4472.0
2021-03-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,5712.0
2021-04-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,6211.0
2021-05-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,6677.0
2021-06-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,5444.0
2021-07-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,3422.0
2021-08-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,3414.0
2021-09-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,4057.0
2021-10-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,6092.0
2021-11-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,9899.0
2021-12-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,13551.0
2022-01-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,20486.0
2022-02-28 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,11849.0
2022-03-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,10082.0
2022-04-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,10664.0
2022-05-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,12470.0
2022-06-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,12762.0
2022-07-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,13118.0
2022-08-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,12348.0
2022-09-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,10994.0
2022-10-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,10135.0
2022-11-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,9423.0
2022-12-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,8935.0
2023-01-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,12611.0
2023-02-28 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,10862.0
2023-03-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,10220.0
2023-04-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,8042.0
2023-05-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,9447.0
2023-06-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,8115.0
2023-07-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,8052.0
2023-08-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,8719.0
2023-09-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,7946.0
2023-10-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,8339.0
2023-11-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,10082.0
2023-12-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,12285.0
2024-01-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,27058.0
2024-02-29 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,28886.0
2024-03-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,32091.0
2024-04-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,29247.0
2024-05-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,30115.0
2024-06-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,23415.0
2024-07-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,17863.0
2024-08-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,12297.0
2024-09-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,8653.0
2024-10-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,1019.0
